Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,1001000082254.0,$80,$50,$0,$200,$0,$0,$20,$0,$50,$0,$0,$0,$100,$0,$50,$0,$50,$50,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037971912.0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103810244.0,$25,$435,$0,$0,$0,$0,$0,$0,$0,$105,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,$0,$0,$50,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038615333.0,$285,$103,$100,$175,$0,$25,$0,$0,$5,$100,$107,$125,$0,$0,$0,$15,$0,$40,$75,$0,$30,$0,$0,$50,$0,$157,$250,$3,$35,$319,$80,$0,$132,$130,$400,"$1,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039131196.0,$40,$0,$0,$125,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$45,$0,$0,$0,$25,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040188617.0,gbp64,gbp72,gbp118,gbp30,gbp29,gbp26,gbp28,gbp30,gbp8,gbp18,gbp8,gbp0,gbp0,gbp0,gbp0,gbp10,gbp9,gbp0,gbp10,gbp28,gbp46,gbp35,gbp0,gbp38,gbp29,gbp34,gbp36,gbp19,gbp53,gbp63,gbp8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041608014.0,$282,"$1,307",$379,$230,$-71,$-16,$418,$-14,$-69,$41,$71,,$-71,$70,,,$71,$-71,,$71,$85,$-71,,,$-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043598167.0,$310,$0,$50,$20,$0,$120,$20,$70,$20,$50,$0,$20,$0,$0,$70,$20,$25,$0,$20,$0,$0,$20,$20,$0,$120,$30,$125,$445,$100,$410,$415,$65,$455,$275,$590,$55,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044382739.0,$0,$65,$10,$5,$0,$60,$0,$0,$0,$40,$0,$45,$0,$0,$0,$0,$140,$0,$0,$40,$0,$0,$0,$25,$10,$205,$25,$0,$70,$150,$0,$25,$25,$0,$50,$0,$0,$0,$0,$40,$200,$255,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046479054.0,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046793353.0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048577059.0,,gbp360,"gbp1,020",gbp125,,gbp235,gbp135,gbp100,,gbp125,,,,gbp135,,,gbp25,,gbp235,gbp240,,gbp-135,gbp65,,,,gbp450,gbp-219,,gbp-330,,gbp-330,gbp185,gbp135,,,,,,,gbp-12-185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10485797.0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051189576.0,$0,$50,$0,$25,$0,$0,$0,$0,$0,$13,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$13,$100,$0,$0,$0,$0,$12,$0,$0,$0,$35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054343708.0,,,,42,50,"1,070",450,61,,49,89,47,72,176,50,49,50,167,15,,,379,29,100,289,70,,960,894,"9,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056441054.0,$965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058712305.0,$791,$563,$286,$303,$86,$43,$127,$0,$43,$0,$27,$93,$147,$649,$294,$79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058869683.0,"$2,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
